solve_message = 'CONOPT 3.17A Locally infeasible; objective 655.3634589
58 iterations; evals nf = 4, ng = 0, nc = 784, nJ = 66, nH = 0, nHv = 7'

            _varname               _var          =
323    'L[2,25]'                  28.5545
324    'L[2,26]'                  28.5347
325    'L[2,27]'                  28.4973
326    'L[2,28]'                  28.4742
327    'L[2,29]'                  28.6379
328    'L[2,30]'                  29.2129
329    'x[1,1,1]'                  6.69607e-08
330    'x[1,1,2]'                  0
331    'x[1,1,3]'                  1
332    'x[1,2,1]'                  3.2619e-07
333    'x[1,2,2]'                  0.0572413
334    'x[1,2,3]'                  0.942758
335    'x[1,3,1]'                  1.49575e-06
336    'x[1,3,2]'                  0.163017
337    'x[1,3,3]'                  0.836982
338    'x[1,4,1]'                  6.2433e-06
339    'x[1,4,2]'                  0.328541
340    'x[1,4,3]'                  0.671453
341    'x[1,5,1]'                  2.28536e-05
342    'x[1,5,2]'                  0.52889
343    'x[1,5,3]'                  0.471087
344    'x[1,6,1]'                  7.2703e-05
345    'x[1,6,2]'                  0.70552
346    'x[1,6,3]'                  0.294408
347    'x[1,7,1]'                  0.000207115
348    'x[1,7,2]'                  0.821004
349    'x[1,7,3]'                  0.178789
350    'x[1,8,1]'                  0.000551943
351    'x[1,8,2]'                  0.881765
352    'x[1,8,3]'                  0.117683
353    'x[1,9,1]'                  0.00142159
354    'x[1,9,2]'                  0.909492
355    'x[1,9,3]'                  0.0890864
356    'x[1,10,1]'                 0.00360085
357    'x[1,10,2]'                 0.91995
358    'x[1,10,3]'                 0.0764489
359    'x[1,11,1]'                 0.00902925
360    'x[1,11,2]'                 0.92004
361    'x[1,11,3]'                 0.0709307
362    'x[1,12,1]'                 0.0223869
363    'x[1,12,2]'                 0.909266
364    'x[1,12,3]'                 0.0683467
365    'x[1,13,1]'                 0.0543123
366    'x[1,13,2]'                 0.879023
367    'x[1,13,3]'                 0.0666642
368    'x[1,14,1]'                 0.12557
369    'x[1,14,2]'                 0.809827
370    'x[1,14,3]'                 0.0646035
371    'x[1,15,1]'                 0.262612
372    'x[1,15,2]'                 0.67632
373    'x[1,15,3]'                 0.0610683
374    'x[1,16,1]'                 0.487302
375    'x[1,16,2]'                 0.494536
376    'x[1,16,3]'                 0.0181621
377    'x[1,17,1]'                 0.72357
378    'x[1,17,2]'                 0.272482
379    'x[1,17,3]'                 0.00394756
380    'x[1,18,1]'                 0.880663
381    'x[1,18,2]'                 0.118676
382    'x[1,18,3]'                 0.000661084
383    'x[1,19,1]'                 0.954702
384    'x[1,19,2]'                 0.0452028
385    'x[1,19,3]'                 9.54097e-05
386    'x[1,20,1]'                 0.983746
387    'x[1,20,2]'                 0.0162411
388    'x[1,20,3]'                 1.2906e-05
389    'x[1,21,1]'                 0.994291
390    'x[1,21,2]'                 0.00570743
391    'x[1,21,3]'                 1.70339e-06
392    'x[1,22,1]'                 0.99801
393    'x[1,22,2]'                 0.00198983
394    'x[1,22,3]'                 2.22846e-07
395    'x[1,23,1]'                 0.999308
396    'x[1,23,2]'                 0.000691794
397    'x[1,23,3]'                 2.90637e-08
398    'x[1,24,1]'                 0.99976
399    'x[1,24,2]'                 0.000240275
400    'x[1,24,3]'                 3.78642e-09
401    'x[1,25,1]'                 0.999917
402    'x[1,25,2]'                 8.34206e-05
403    'x[1,25,3]'                 4.93109e-10
404    'x[1,26,1]'                 0.999971
405    'x[1,26,2]'                 2.89554e-05
406    'x[1,26,3]'                 6.42097e-11
407    'x[1,27,1]'                 0.99999
408    'x[1,27,2]'                 1.00462e-05
409    'x[1,27,3]'                 8.36054e-12
410    'x[1,28,1]'                 0.999997
411    'x[1,28,2]'                 3.4817e-06
412    'x[1,28,3]'                 1.0885e-12
413    'x[1,29,1]'                 0.999999
414    'x[1,29,2]'                 1.2028e-06
415    'x[1,29,3]'                 1.4163e-13
416    'x[1,30,1]'                 1
417    'x[1,30,2]'                 4.11677e-07
418    'x[1,30,3]'                 1.83428e-14
419    'x[2,1,1]'                  4.13715e-14
420    'x[2,1,2]'                  0.0543087
421    'x[2,1,3]'                  0.945691
422    'x[2,2,1]'                  2.10988e-13
423    'x[2,2,2]'                  0.111869
424    'x[2,2,3]'                  0.888131
425    'x[2,3,1]'                  1.02182e-12
426    'x[2,3,2]'                  0.217482
427    'x[2,3,3]'                  0.782518
